gene_a,gene_b,fr_label,sl_label,source_GI_flag,PC9_GI_flag,HeLa_GI_flag,PC9_GI_score,PC9_GI_fdr,HeLa_GI_score,HeLa_GI_fdr
SPAG11B,SPAG11A,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.156762572845652,0.503256585780701,0.301711426195439,0.141602581498876
VPS26B,VPS26A,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.156741276507723,0.392768523050661,-0.191932979107275,0.421338223388239
MANEAL,MANEA,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.156468604251437,0.511957006175534,0.151282390273387,0.316725639111942
FBP2,FBP1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.156140112729986,0.554292582451806,-0.0478427043428006,0.855038126898368
HSPA12B,HSPA12A,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.155679924556425,0.307360893510792,0.098037212431431,0.457375457520574
REEP6,REEP5,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.154144110356996,0.474723444120181,-0.163551499230279,0.277572457933381
SDF2L1,SDF2,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.153829688139405,0.343795951335848,0.0786900700822801,0.690675436922838
RIMKLB,RIMKLA,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.153011766234064,0.620298295799656,0.0218044466659323,0.883161377093026
SLC24A4,SLC24A3,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.150867151096527,0.240786248692876,0.014348798986488,0.951159086727449
TBC1D8B,TBC1D8,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.150481673790977,0.500733850951878,-0.0478263594778315,0.789315920825744
FURIN,PCSK4,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.150303543166484,0.56474827293422,0.242981237593564,0.433914508122726
CHSY3,CHSY1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.149298465157883,0.566197631503488,0.0693540712816704,0.578330739191991
FKBP9,FKBP10,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.149039198768591,0.562202315261349,0.176033733047267,0.291378402025271
MAP3K13,MAP3K12,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.148828015213326,0.513618445203842,0.173848668489152,0.370123200434612
SCD5,SCD,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.14817035971147,0.735643196306999,0.117797767431932,0.553838922674078
CCT6B,CCT6A,FR_negative,True,synthetic_lethal,neither_in_PC9,SL_in_HeLa,-0.148063130873024,0.525254283677352,-0.945717622686171,0.0983027618326919
