"Pair_Key","Dose_A","Dose_B","inh_A_alone","ref_inh_A_alone","inh_B_alone","ref_inh_B_alone"
"1",0.0325,0.223,0.02371025643,99.9920208745543,0.02127463532,99.9977059704694
"1",0.0325,0.775,0.02371025643,99.998527803896,0.02268121781,99.9973344855499
"1",0.0325,10,0.02371025643,99.9960683015082,0.4447595898,99.9983890599827
"1",0.0325,2.75,0.02371025643,99.9975609801384,0.2450564507,99.9956904884241
"1",0.08,0.223,0.1036814437,99.9956251680874,0.02127463532,99.990262808383
"1",0.08,0.775,0.1036814437,99.9927589901281,0.02268121781,99.9948612722824
"1",0.08,10,0.1036814437,99.9973555840366,0.4447595898,99.9954268103279
"1",0.08,2.75,0.1036814437,99.9954927979386,0.2450564507,99.9983666011691
"1",0.2,0.223,0.2706204528,99.9934612704394,0.02127463532,99.9972866453813
"1",0.2,0.775,0.2706204528,99.9951496563479,0.02268121781,99.9955511380685
"1",0.2,10,0.2706204528,99.9981576794758,0.4447595898,99.9907341439743
"1",0.2,2.75,0.2706204528,99.9952627256932,0.2450564507,99.9913650229923
"1",0.5,0.223,0.6077336951,99.9920304004988,0.02127463532,99.9968460869626
"1",0.5,0.775,0.6077336951,99.9984810768045,0.02268121781,99.9909962193621
"1",0.5,10,0.6077336951,99.9937049421505,0.4447595898,99.9920378590515
"1",0.5,2.75,0.6077336951,99.9930332517088,0.2450564507,99.993659801383
"2",0.000325,0.325,-0.03469918357,-5541.9840235232,0.2608354953,99.9901225462416
"2",0.000325,0.8,-0.03469918357,-5541.9840235232,0.4594631178,99.9964147320064
"2",0.000325,2,-0.03469918357,-5541.9840235232,0.5563478507,99.9951257497165
"2",0.000325,5,-0.03469918357,-5541.9840235232,0.5830278898,99.9932035211823
"2",0.0016,0.325,0.4909677437,99.9977906886861,0.2608354953,99.9958143315767
"2",0.0016,0.8,0.4909677437,99.9925510568335,0.4594631178,99.996173444083
"2",0.0016,2,0.4909677437,99.9954804332601,0.5563478507,99.9943827453768
"2",0.0016,5,0.4909677437,99.9903390152077,0.5830278898,99.9917036898062
"2",0.008,0.325,0.9361549528,99.9980610947614,0.2608354953,99.9971508049662
"2",0.008,0.8,0.9361549528,99.9933775280719,0.4594631178,99.9974778654869
"2",0.008,2,0.9361549528,99.9991628585802,0.5563478507,99.9984391470812
"2",0.008,5,0.9361549528,99.9935710641788,0.5830278898,99.9953475904697
"2",0.04,0.325,0.9414701951,99.9997536501312,0.2608354953,99.9930223526154
"2",0.04,0.8,0.9414701951,99.9938437852263,0.4594631178,99.9945651818206
"2",0.04,2,0.9414701951,99.9948867353518,0.5563478507,99.9938434253447
"2",0.04,5,0.9414701951,99.9949077623128,0.5830278898,99.9924904685467
