"Pair_Key","Dose_A","Dose_B","inh_A_alone","ref_inh_A_alone","inh_B_alone","ref_inh_B_alone"
"1",0.0097656,0.0001954,0.5922438,0.602156781407109,-0.0376006,-0.109429835080754
"1",0.0097656,0.0007812,0.5922438,0.602156781407109,-0.1813851,-0.109423704745192
"1",0.0097656,0.003125,0.5922438,0.602156781407109,0.4117312,0.411736655639073
"1",0.0097656,0.0125,0.5922438,0.602156781407109,0.53333004,0.623190996033919
"1",0.0097656,0.05,0.5922438,0.602156781407109,0.71304855,0.623192005807871
"1",0.0390626,0.0001954,0.60245686,0.602156781404605,-0.0376006,-0.109429835080754
"1",0.0390626,0.0007812,0.60245686,0.602156781404605,-0.1813851,-0.109423704745192
"1",0.0390626,0.003125,0.60245686,0.602156781404605,0.4117312,0.411736655639073
"1",0.0390626,0.0125,0.60245686,0.602156781404605,0.53333004,0.623190996033919
"1",0.0390626,0.05,0.60245686,0.602156781404605,0.71304855,0.623192005807871
"1",0.15625,0.0001954,0.6076255,0.602156773000164,-0.0376006,-0.109429835080754
"1",0.15625,0.0007812,0.6076255,0.602156773000164,-0.1813851,-0.109423704745192
"1",0.15625,0.003125,0.6076255,0.602156773000164,0.4117312,0.411736655639073
"1",0.15625,0.0125,0.6076255,0.602156773000164,0.53333004,0.623190996033919
"1",0.15625,0.05,0.6076255,0.602156773000164,0.71304855,0.623192005807871
"1",0.625,0.0001954,0.6062738,0.602128569333312,-0.0376006,-0.109429835080754
"1",0.625,0.0007812,0.6062738,0.602128569333312,-0.1813851,-0.109423704745192
"1",0.625,0.003125,0.6062738,0.602128569333312,0.4117312,0.411736655639073
"1",0.625,0.0125,0.6062738,0.602128569333312,0.53333004,0.623190996033919
"1",0.625,0.05,0.6062738,0.602128569333312,0.71304855,0.623192005807871
"1",2.5,0.0001954,0.54209366,0.54209490126817,-0.0376006,-0.109429835080754
"1",2.5,0.0007812,0.54209366,0.54209490126817,-0.1813851,-0.109423704745192
"1",2.5,0.003125,0.54209366,0.54209490126817,0.4117312,0.411736655639073
"1",2.5,0.0125,0.54209366,0.54209490126817,0.53333004,0.623190996033919
"1",2.5,0.05,0.54209366,0.54209490126817,0.71304855,0.623192005807871
"2",0.0097656,0.0001954,-0.538751,-0.741030758937272,0.0475548,0.0450932944735992
"2",0.0097656,0.0007812,-0.538751,-0.741030758937272,0.1042966,0.10742957763547
"2",0.0097656,0.003125,-0.538751,-0.741030758937272,0.5968784,0.593624796132159
"2",0.0097656,0.0125,-0.538751,-0.741030758937272,0.68311079,0.72560841891845
"2",0.0097656,0.05,-0.538751,-0.741030758937272,0.76972704,0.729810563297666
"2",0.0390626,0.0001954,-0.8723946,-0.741030595431134,0.0475548,0.0450932944735992
"2",0.0390626,0.0007812,-0.8723946,-0.741030595431134,0.1042966,0.10742957763547
"2",0.0390626,0.003125,-0.8723946,-0.741030595431134,0.5968784,0.593624796132159
"2",0.0390626,0.0125,-0.8723946,-0.741030595431134,0.68311079,0.72560841891845
"2",0.0390626,0.05,-0.8723946,-0.741030595431134,0.76972704,0.729810563297666
"2",0.15625,0.0001954,-0.81184,-0.740818690562658,0.0475548,0.0450932944735992
"2",0.15625,0.0007812,-0.81184,-0.740818690562658,0.1042966,0.10742957763547
"2",0.15625,0.003125,-0.81184,-0.740818690562658,0.5968784,0.593624796132159
"2",0.15625,0.0125,-0.81184,-0.740818690562658,0.68311079,0.72560841891845
"2",0.15625,0.05,-0.81184,-0.740818690562658,0.76972704,0.729810563297666
"2",0.625,0.0001954,-0.5147575,-0.514839738042544,0.0475548,0.0450932944735992
"2",0.625,0.0007812,-0.5147575,-0.514839738042544,0.1042966,0.10742957763547
"2",0.625,0.003125,-0.5147575,-0.514839738042544,0.5968784,0.593624796132159
"2",0.625,0.0125,-0.5147575,-0.514839738042544,0.68311079,0.72560841891845
"2",0.625,0.05,-0.5147575,-0.514839738042544,0.76972704,0.729810563297666
"2",2.5,0.0001954,0.53019165,0.530180772648926,0.0475548,0.0450932944735992
"2",2.5,0.0007812,0.53019165,0.530180772648926,0.1042966,0.10742957763547
"2",2.5,0.003125,0.53019165,0.530180772648926,0.5968784,0.593624796132159
"2",2.5,0.0125,0.53019165,0.530180772648926,0.68311079,0.72560841891845
"2",2.5,0.05,0.53019165,0.530180772648926,0.76972704,0.729810563297666
